#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-29.42288,2000,4238.697563
-35.68648,2000,4242.020241
-33.634246,2000,4245.242345
-29.971972,2000,4248.332943
-30.28135,2000,4251.494865
-31.349385,2000,4254.66884
-31.494213,2000,4257.852945
-30.144869,2000,4261.156246
-32.839787,2000,4264.422206
-24.500777,2000,4267.521297
-23.481492,2000,4270.609977
-31.078705,2000,4273.830007
-47.375735,2000,4276.941257
-29.901213,2000,4280.06209
-24.070256,2000,4283.368666
-24.772605,2000,4286.562192
-23.34499,2000,4289.665222
-21.057662,2000,4292.787041
-31.306836,2000,4295.912262
-25.505308,2000,4299.021668
-29.765945,2000,4302.147113
-31.246357,2000,4305.300284
-58.275867,2000,4308.600861
-24.562969,2000,4311.670847
-26.278248,2000,4314.832383
-22.466779,2000,4316.942504
-26.036833,2000,4320.262187
-22.622157,2000,4323.359546
-24.786568,2000,4326.470313
-22.499255,2000,4329.696672
-31.853734,2000,4333.055584
-22.793365,2000,4336.249445
-41.816746,2000,4339.468496
-26.625269,2000,4342.699834
-34.602061,2000,4345.949819
-32.333032,2000,4349.201718
-27.919775,2000,4352.479568
-28.286043,2000,4355.585703
-37.83903,2000,4358.61474
-29.03667,2000,4361.658998
-28.924921,2000,4364.874282
-28.279967,2000,4368.090307
-41.4476,2000,4371.302228
-29.341427,2000,4374.47241
-35.377936,2000,4377.73787
-24.216742,2000,4380.899894
-33.43693,2000,4383.962588
-46.509631,2000,4387.170191
-37.498838,2000,4390.453522
-25.55135,2000,4393.642168
-33.949087,2000,4396.822786
-55.369093,2000,4400.117724
-24.086207,2000,4403.334047
-28.773967,2000,4406.452504
-26.770513,2000,4409.485242
-45.592091,2000,4412.703289
-27.135989,2000,4416.154662
-33.57589,2000,4419.33364
-35.486211,2000,4422.392841
-28.836078,2000,4425.573571
-45.021429,2000,4428.780086
-29.955869,2000,4431.903342
-29.935681,2000,4435.004574
-29.602501,2000,4438.206948
-29.238181,2000,4441.426061
-44.836742,2000,4444.525293
-94.394962,114,4444.640214
-28.940317,2000,4447.738467
-37.109443,2000,4450.877914
-32.984447,2000,4454.217236
-61.94032,2000,4457.471181
-44.385329,2000,4459.512667
-98.886608,187,4460.850313
-32.114357,2000,4463.972963
-32.346088,2000,4467.088232
-59.225317,2000,4470.170124
-27.760579,2000,4472.204319
-46.309213,2000,4475.632563
-101.139457,93,4476.819695
-43.187063,2000,4478.92602
-45.80334,2000,4482.067558
-47.137589,2000,4485.295919
-26.742045,2000,4488.412716
-43.482165,2000,4491.531908
-39.687162,2000,4494.679092
-44.837521,2000,4497.852568
-24.843397,2000,4500.958277
-33.485217,2000,4504.108086
-27.399512,2000,4507.406994
-36.117722,2000,4510.714751
-98.03701,142,4510.881726
-41.455191,2000,4514.097218
-33.20191,2000,4517.232088
-33.72039,2000,4520.429378
-39.028906,2000,4523.742398
-25.582267,2000,4527.075406
-36.672645,2000,4530.3057
-39.708353,2000,4533.41103
-69.980584,2000,4536.556809
-51.255928,2000,4539.638164
-35.118996,2000,4542.819673
-97.033457,158,4543.000064
-48.571327,2000,4546.093507
-28.182188,2000,4549.228485
-32.074962,2000,4552.453875
-39.154106,2000,4555.659114
-36.506812,2000,4558.901593
-27.934284,2000,4562.144342
-43.767253,2000,4565.475772
-39.385927,2000,4568.981386
-28.592265,2000,4572.505189
-29.248968,2000,4576.019707
-39.786782,2000,4579.604076
-41.335185,2000,4583.187318
-40.247501,2000,4586.873046
-36.998381,2000,4591.140852
-31.498358,2000,4595.066243
-37.671681,2000,4599.412694
-34.284904,2000,4603.66624
-31.019268,2000,4608.066589
-30.27252,2000,4612.388235
-35.488771,2000,4615.811378
-36.100878,2000,4619.054548
-36.509302,2000,4622.205814
-30.53566,2000,4625.410609
-34.417155,2000,4628.702047
-29.913217,2000,4631.875525
-31.902895,2000,4635.157947
-36.006014,2000,4638.490986
-37.003222,2000,4641.606232
-46.25784,2000,4643.595013
-37.050765,2000,4646.671164
-40.404972,2000,4649.853896
-39.291551,2000,4653.135238
-34.00978,2000,4656.249669
-36.128177,2000,4659.516481
-31.715098,2000,4662.621505
-34.752619,2000,4665.930498
-30.631784,2000,4669.112537
-28.242786,2000,4672.179631
-31.295243,2000,4675.442296
-28.274954,2000,4678.567189
-32.513549,2000,4681.686366
-33.273772,2000,4684.792622
-26.764719,2000,4687.916569
-32.972511,2000,4691.072906
-33.102701,2000,4694.369354
-31.316721,2000,4697.721336
-29.941491,2000,4701.001915
-30.390798,2000,4704.146474
-36.988997,2000,4707.416059
-31.012524,2000,4710.621663
-31.520529,2000,4713.832137
-36.078606,2000,4717.109488
-31.133105,2000,4720.281351
-36.777515,2000,4723.467612
-29.407324,2000,4726.545809
-28.69633,2000,4729.642511
-30.79436,2000,4732.740043
-30.434777,2000,4735.963737
-33.379086,2000,4739.356857
-123.239865,183,4739.566575
-29.835925,2000,4742.912118
-28.889778,2000,4746.205109
-37.411911,2000,4749.511863
-29.020894,2000,4752.738717
-30.714908,2000,4755.988899
-28.287997,2000,4759.23511
-36.212906,2000,4762.450087
-50.593249,2000,4765.799789
-29.058406,2000,4768.917615
-34.498485,2000,4772.034899
-29.173949,2000,4775.105341
-28.881864,2000,4778.275379
-34.21614,2000,4781.551009
-28.437666,2000,4784.798345
-30.507828,2000,4787.836804
-39.235591,2000,4789.991663
-31.931304,2000,4793.248264
-35.62824,2000,4796.37679
-29.801095,2000,4799.477079
-32.243612,2000,4802.623567
-35.414428,2000,4805.684946
-37.214879,2000,4808.919389
-31.876303,2000,4812.112426
-34.566641,2000,4815.200489
-124.218185,206,4815.412239
-29.938187,2000,4818.531633
-32.744277,2000,4821.659213
-40.782956,2000,4824.876122
-120.794635,171,4825.072774
-31.423627,2000,4828.153049
-30.320979,2000,4831.310228
-39.732498,2000,4834.622579
-28.545834,2000,4837.785653
-29.168032,2000,4840.911358
-44.290487,2000,4844.172128
-36.61525,2000,4847.30884
-38.440651,2000,4850.451023
-39.291617,2000,4853.712635
-31.967541,2000,4856.891575
-29.727715,2000,4859.984631
-33.985238,2000,4863.036395
-31.390822,2000,4866.16399
-31.176965,2000,4869.244894
-120.565149,146,4869.398527
-29.596922,2000,4872.699327
-46.987866,2000,4875.879545
-30.125597,2000,4878.972431
-28.457504,2000,4882.072355
-29.276012,2000,4885.332482
-41.806193,2000,4888.610879
-29.856839,2000,4891.754537
-32.280594,2000,4894.844175
-29.389128,2000,4897.967636
-28.95176,2000,4901.153256
-28.993384,2000,4904.521394
-26.756464,2000,4907.615204
-35.017218,2000,4910.842173
-29.934092,2000,4914.224482
-31.655325,2000,4917.29086
-26.973514,2000,4920.511183
-27.369221,2000,4923.809518
-34.25596,2000,4927.130556
-36.190764,2000,4930.423048
-30.034472,2000,4933.52004
-27.953073,2000,4936.795686
-41.46378,2000,4940.149589
-33.249624,2000,4943.205379
-27.948406,2000,4946.491055
-30.635511,2000,4949.627435
-28.628084,2000,4952.841344
-28.373139,2000,4956.057718
-25.895202,2000,4959.160328
-29.717283,2000,4961.279301
-27.020321,2000,4964.529351
-27.728438,2000,4967.691211
-28.660671,2000,4970.904866
-29.742542,2000,4974.058378
-41.809411,2000,4977.282247
-31.972281,2000,4980.511872
-30.316154,2000,4983.601071
-27.892694,2000,4986.855546
-36.538213,2000,4990.06969
-26.988587,2000,4993.350563
-41.844741,2000,4996.742092
-29.998263,2000,4999.940733
-28.843948,2000,5003.18119
-33.070568,2000,5006.409069
-25.321898,2000,5009.675002
-27.831927,2000,5012.953291
-29.968681,2000,5016.323803
-25.465594,2000,5019.470179
-29.506111,2000,5022.658797
-25.819879,2000,5025.724515
-25.234157,2000,5028.971912
-27.766592,2000,5032.320283
-26.433482,2000,5035.477692
-29.523604,2000,5038.52508
-26.778772,2000,5041.775068
-26.736147,2000,5045.064117
-30.427686,2000,5048.399207
-28.712429,2000,5051.666164
-26.723375,2000,5054.824358
-22.456897,2000,5057.915891
-22.025885,2000,5061.128017
-26.035043,2000,5064.394882
-25.868371,2000,5067.689306
-29.753827,2000,5070.787446
-24.02506,2000,5073.949914
-28.158013,2000,5077.041636
-25.61599,2000,5080.098784
-25.612548,2000,5083.236996
-25.335215,2000,5086.43922
-28.164813,2000,5089.5967
-29.903768,2000,5092.694014
-27.980683,2000,5095.968215
-26.897675,2000,5098.02478
-26.025086,2000,5101.340359
-21.705526,2000,5104.49721
-29.934689,2000,5107.658246
-29.859058,2000,5110.925979
-23.716574,2000,5114.092381
-28.661972,2000,5117.330014
-40.103373,2000,5120.402368
-26.660392,2000,5123.62246
-27.203986,2000,5126.72788
-23.543922,2000,5129.827348
-45.914963,2000,5132.930259
-30.547151,2000,5136.259516
-98.493372,99,5136.366939
-28.058021,2000,5139.498793
-95.789417,91,5139.597727
-32.543296,2000,5142.792591
-33.879493,2000,5146.070852
-31.658293,2000,5149.303878
-25.075859,2000,5152.471858
-26.708409,2000,5155.619825
-26.493952,2000,5158.70791
-30.311252,2000,5161.817338
-101.295446,142,5161.964419
-25.81939,2000,5165.073834
-24.373871,2000,5168.149622
-31.712737,2000,5171.316519
-26.395686,2000,5174.556828
-25.300005,2000,5177.710728
-24.191528,2000,5180.944068
-26.216002,2000,5184.206927
-24.584422,2000,5187.407366
-129.575146,347,5187.756107
-25.847997,2000,5190.921767
-28.661367,2000,5194.066753
-20.425614,2000,5197.288572
-29.793712,2000,5200.541352
-33.47881,2000,5203.800121
-17.081139,2000,5207.07774
-31.365333,2000,5210.331004
-25.582352,2000,5213.493286
-33.278858,2000,5216.616497
-24.730593,2000,5219.720593
-24.162358,2000,5222.872783
-22.364904,2000,5226.161419
-29.039501,2000,5229.348432
-23.08452,2000,5232.581583
-18.970976,2000,5235.789541
-29.257881,2000,5238.961482
-27.434641,2000,5241.999476
-22.57265,2000,5245.219706
-21.600479,2000,5248.429823
-21.471354,2000,5251.587938
-28.939012,2000,5254.640383
-18.080558,2000,5257.840628
-20.229641,2000,5261.114452
-18.366523,2000,5264.431407
-38.726056,2000,5267.72758
-21.388006,2000,5270.834484
-21.073531,2000,5274.047293
-20.858658,2000,5276.163386
-37.742586,2000,5279.250035
-21.191206,2000,5282.505713
-23.683633,2000,5285.667878
-27.176573,2000,5288.817694
-17.841043,2000,5291.885426
-28.525931,2000,5295.178892
-30.507192,2000,5298.280507
-34.355098,2000,5301.462073
-44.547061,2000,5304.629605
-33.078114,2000,5307.920443
-31.124149,2000,5311.22386
-19.744114,2000,5314.468007
-27.107151,2000,5317.757785
-43.771783,2000,5321.011574
-44.824442,2000,5324.263529
-42.965585,2000,5327.627737
-23.935712,2000,5330.748631
-23.648357,2000,5333.809478
-23.548666,2000,5336.875855
-22.70264,2000,5340.055325
-26.662058,2000,5343.174693
-23.417686,2000,5346.480108
-21.059071,2000,5349.624631
-21.286443,2000,5352.682909
-20.511779,2000,5355.859808
-18.794271,2000,5359.0316
-27.812344,2000,5362.093108
-31.866631,2000,5365.210575
-24.521049,2000,5368.361575
-24.402275,2000,5371.58047
-44.809972,2000,5374.699548
-23.89856,2000,5377.848421
-26.754252,2000,5380.943992
-25.20705,2000,5384.137912
-23.198758,2000,5387.409301
-51.614591,2000,5390.509411
-24.950084,2000,5393.687785
-28.165565,2000,5396.801194
-32.984786,2000,5399.98264
-30.335079,2000,5403.25744
-40.582066,2000,5406.366844
-30.98336,2000,5409.632149
-25.570163,2000,5411.702969
-25.666871,2000,5414.98828
-24.630565,2000,5418.110633
-25.243466,2000,5421.229939
-28.359767,2000,5424.324012
-23.355365,2000,5427.557187
-24.613532,2000,5430.915171
-23.59916,2000,5434.144183
-22.664623,2000,5437.27369
-26.964607,2000,5440.441377
-20.350984,2000,5443.698534
-40.350787,2000,5446.789909
-22.559221,2000,5449.948835
-34.479293,2000,5453.146819
-23.038398,2000,5456.328463
-24.086322,2000,5459.662059
-24.866237,2000,5462.976808
-23.310167,2000,5466.242782
-19.288556,2000,5469.305746
-26.982971,2000,5472.565953
-53.325624,2000,5475.710411
-96.360626,139,5475.855029
-26.128653,2000,5479.022533
-21.917885,2000,5482.329214
-20.12696,2000,5485.554648
-99.538362,90,5485.646507
-21.695581,2000,5488.744623
-58.892836,2000,5491.842316
-17.99102,2000,5494.932897
-27.38362,2000,5498.042989
-23.474861,2000,5501.167122
-19.508225,2000,5504.353112
-16.558465,2000,5507.663262
-31.483259,2000,5511.035001
-18.346042,2000,5514.256468
-28.657958,2000,5517.451187
-26.677993,2000,5520.622496
-23.315628,2000,5523.768708
-23.475401,2000,5527.321154
-25.208513,2000,5530.892049
-17.256295,2000,5534.416507
-18.230788,2000,5537.916708
-25.86317,2000,5541.419111
-33.295655,2000,5544.951409
-30.357036,2000,5548.539681
-33.582007,2000,5552.116697
-26.298876,2000,5556.001194
-35.797567,2000,5560.141967
-25.356527,2000,5564.406105
-20.814486,2000,5568.657048
-25.642801,2000,5571.377924
-27.270934,2000,5575.296263
-32.94531,2000,5578.506507
-25.659691,2000,5581.745305
-33.332965,2000,5585.065047
-19.021061,2000,5588.144568
-21.390477,2000,5591.215747
-26.07418,2000,5594.487646
-25.866869,2000,5597.78232
-26.678116,2000,5600.914898
-30.596432,2000,5604.017872
-30.933567,2000,5607.157038
-24.38832,2000,5610.256775
-25.650384,2000,5613.357495
-19.48166,2000,5616.565598
-22.717499,2000,5619.757421
-20.897227,2000,5623.138166
-24.280301,2000,5626.373341
-35.434786,2000,5629.676088
-26.165416,2000,5632.940337
-26.026168,2000,5636.251888
-20.9472,2000,5639.319935
-25.178267,2000,5642.567205
-25.50983,2000,5645.864646
-22.272531,2000,5649.050067
-17.683993,2000,5652.208871
-26.180985,2000,5655.423345
-18.675758,2000,5658.512736
-98.062435,122,5658.639766
-18.016339,2000,5662.016236
-31.552272,2000,5665.212358
-27.988251,2000,5668.375299
-30.430309,2000,5671.443852
-103.613075,75,5671.524457
-25.008588,2000,5674.774585
-100.875948,87,5674.873559
-24.466279,2000,5678.151184
-29.996794,2000,5681.282925
-25.172264,2000,5684.455034
-25.77813,2000,5687.659379
-99.611339,88,5687.767302
-25.09122,2000,5691.00286
-26.573504,2000,5694.220239
-26.008815,2000,5697.447823
-18.794364,2000,5700.634551
-26.166886,2000,5703.725189
-24.763954,2000,5706.863761
-28.807946,2000,5709.956435
-25.220959,2000,5713.129958
-26.73786,2000,5716.239817
-97.488504,120,5716.370626
-101.054548,141,5716.519836
-27.011083,2000,5719.612689
-27.450158,2000,5722.844307
-30.322517,2000,5725.940242
-20.4525,2000,5729.186426
-28.710378,2000,5732.340281
-21.889655,2000,5735.391388
-29.453821,2000,5738.490491
-26.74466,2000,5741.684437
-30.659063,2000,5744.76299
-32.533805,2000,5746.754413
-27.575338,2000,5749.956617
-32.435932,2000,5753.15106
-30.578159,2000,5756.480577
-22.326038,2000,5759.81334
-33.015455,2000,5762.990935
-30.761102,2000,5766.041812
-26.404114,2000,5769.217025
-27.035658,2000,5772.479476
-18.142869,2000,5775.604325
-25.870108,2000,5778.745252
-25.376653,2000,5781.93881
-47.567408,2000,5785.082707
-25.408496,2000,5788.441896
-26.271555,2000,5791.793816
-43.705085,2000,5794.932587
-32.606658,2000,5798.107308
-26.000473,2000,5801.169963
-32.589787,2000,5804.282362
-24.172887,2000,5807.438749
-23.469643,2000,5810.535045
-48.843113,2000,5813.814634
-32.224796,2000,5816.987324
-49.825621,2000,5820.162585
-29.033418,2000,5823.292001
-33.29698,2000,5826.596673
-38.741245,2000,5829.79617
-33.058214,2000,5832.84885
-44.637515,2000,5835.921705
-24.363685,2000,5838.996235
-32.941942,2000,5842.166331
-29.82235,2000,5845.487807
-103.75136,67,5845.567764
-25.650014,2000,5848.896904
-33.775994,2000,5852.203967
-96.424405,106,5852.323688
-18.243802,2000,5855.433621
-28.676475,2000,5858.577267
-101.19421,68,5858.658241
-43.319966,2000,5861.939375
-50.161816,2000,5865.27823
-27.496001,2000,5868.472362
-27.263695,2000,5871.509366
-100.164176,73,5871.591325
-33.468694,2000,5874.870241
-33.605314,2000,5877.994903
-45.95917,2000,5881.149343
-67.289997,2000,5884.365018
-26.849814,2000,5887.562301
-29.112589,2000,5890.831393
-25.508996,2000,5893.940386
-26.520472,2000,5896.981962
-45.2582,2000,5900.205534
-21.87272,2000,5903.341731
-35.15366,2000,5905.557155
-42.363399,2000,5908.664698
-47.585918,2000,5911.995463
-44.950735,2000,5915.126689
-42.488818,2000,5918.195787
-26.74851,2000,5921.258049
-23.251929,2000,5924.323511
-39.943737,2000,5927.572873
-92.279518,127,5927.703316
-43.574631,2000,5930.781101
-101.595796,72,5930.85934
-14.888343,2000,5934.083051
-44.016086,2000,5937.398239
-39.038672,2000,5940.516277
-91.590257,124,5940.647339
-44.829515,2000,5943.909963
-25.862267,2000,5947.207818
-44.799665,2000,5950.448391
-44.345103,2000,5953.574126
-27.686556,2000,5956.71933
-44.639659,2000,5959.832363
-35.593545,2000,5962.931576
-27.811683,2000,5966.161423
-33.934484,2000,5969.395447
-38.183755,2000,5972.683038
-95.025682,86,5972.774585
-101.072838,194,5972.969862
-38.213286,2000,5976.108848
-48.524268,2000,5979.28018
-27.888021,2000,5982.352036
-25.870837,2000,5985.387824
-31.098753,2000,5988.509279
-27.142121,2000,5991.679424
-42.892747,2000,5994.931552
-22.077291,2000,5998.262841
-38.289901,2000,6001.487503
-40.740889,2000,6004.644096
-30.278879,2000,6007.781241
-34.305078,2000,6011.038287
-32.604918,2000,6014.400002
-28.630465,2000,6017.683926
-33.894171,2000,6020.816386
-25.527647,2000,6023.849172
-44.620595,2000,6026.9149
-26.964378,2000,6030.002284
-35.473417,2000,6033.303876
-34.509748,2000,6036.513961
-36.12556,2000,6039.54758
-46.63686,2000,6042.607723
-29.244903,2000,6045.807484
-32.663732,2000,6048.882607
-37.083893,2000,6052.21249
-31.736967,2000,6055.367052
-27.751994,2000,6058.474385
-95.827992,224,6058.730034
-37.410265,2000,6061.976436
-32.031416,2000,6065.058205
-33.928919,2000,6068.211443
-28.902879,2000,6071.312091
-38.112837,2000,6074.394011
-45.972052,2000,6077.529208
-99.997724,80,6077.613898
-97.6687,86,6077.709487
-96.044667,98,6077.81652
-96.966567,98,6077.921331
-126.960389,175,6078.103383
-34.008193,2000,6081.340351
-35.515484,2000,6084.626125
-101.933798,87,6084.730397
-102.044342,190,6084.956916
-31.305412,2000,6088.227523
-99.521369,88,6088.32208
-44.642903,2000,6091.446015
-124.886167,118,6091.569855
-124.175333,129,6091.707727
-102.201515,81,6091.793882
-100.360082,109,6091.909207
-99.259187,94,6092.008123
-99.318479,111,6092.126133
-97.63426,181,6092.317821
-121.530213,93,6092.417778
-101.464948,116,6092.540358
-102.747869,86,6093.697597
-98.135892,85,6093.790318
-31.899876,2000,6096.85012
-35.059332,2000,6099.906402
-101.512012,73,6099.986081
-102.515252,84,6100.073735
-101.430839,82,6100.16129
-39.011512,2000,6103.318162
-104.29174,89,6103.424502
-40.890484,2000,6106.591701
-97.016721,108,6106.708827
-102.437582,68,6106.782951
-101.834635,77,6106.866225
-35.104143,2000,6109.9387
-102.360294,64,6110.008487
-33.280737,2000,6113.16147
-33.040046,2000,6116.33788
-97.782304,123,6116.467735
-42.805325,2000,6119.539804
-31.581691,2000,6122.849823
-18.623112,2000,6125.925255
-104.825655,64,6125.996027
-102.276053,106,6126.106652
-34.057515,2000,6129.485274
-43.942705,2000,6132.564741
-29.722184,2000,6135.866838
-35.331653,2000,6139.166963
-38.816061,2000,6142.450955
-30.262777,2000,6145.72667
-35.666955,2000,6148.931345
-101.443717,81,6149.016808
-36.995633,2000,6152.058159
-37.277433,2000,6155.165357
-29.361448,2000,6158.204209
-101.63278,75,6158.291742
-100.790182,72,6158.382097
-104.085989,66,6158.457634
-44.276542,2000,6161.72389
-28.692323,2000,6164.832844
-29.783683,2000,6168.022911
-36.315831,2000,6171.221937
-98.841733,101,6171.32373
-33.60195,2000,6174.656432
-30.735094,2000,6177.911891
-101.285411,69,6177.991503
-99.998506,67,6178.071582
-101.721521,74,6178.159585
-102.558868,75,6178.249012
-29.554825,2000,6181.473711
-32.710045,2000,6184.521725
-102.002281,72,6184.597924
-103.58041,62,6184.66537
-104.181487,95,6184.764468
-45.272343,2000,6187.776968
-100.659936,74,6187.856615
-93.520067,114,6187.974713
-34.075734,2000,6191.05137
-35.930542,2000,6194.191069
-101.766042,83,6194.276738
-102.890421,75,6194.356334
-100.616581,100,6194.462978
-100.730301,101,6194.572284
-101.597693,83,6194.666169
-95.395509,116,6194.789641
-102.123035,101,6194.89716
-103.245833,75,6194.980706
-103.966625,61,6195.045801
-101.096001,83,6195.138808
-103.741187,80,6195.228762
-101.676747,100,6195.34525
-103.960494,60,6195.419034
-103.746125,74,6195.506195
-32.304007,2000,6198.715845
-99.677596,98,6198.823729
-103.6502,86,6198.925467
-104.555733,61,6199.000006
-101.944275,74,6200.197805
-98.864402,87,6200.302468
-101.304856,119,6200.439011
-103.79456,73,6200.529181
-102.826252,79,6200.622197
-98.980416,85,6200.72426
-103.757192,62,6200.801621
-103.39008,67,6200.884808
-100.813614,83,6200.988842
-103.307601,71,6201.072928
-104.255678,73,6201.163301
-103.790058,71,6201.245443
-103.284114,63,6201.316776
-95.820918,113,6201.429243
-101.001684,79,6201.510785
-102.644081,76,6201.592206
-99.298776,79,6201.674464
-96.831137,94,6201.773812
-99.818185,76,6201.852719
-103.085957,79,6201.937165
-102.444267,72,6202.014817
-98.657432,80,6202.099449
-98.307268,98,6202.201386
-102.990634,67,6202.273333
-43.471017,2000,6205.52127
-98.586106,81,6205.613964
-104.767646,81,6205.707618
-102.464316,69,6206.928838
-99.198621,91,6207.035158
-99.578018,101,6207.154943
-23.691207,2000,6210.410431
-103.24165,59,6210.473722
-100.102152,129,6210.619079
-29.629616,2000,6213.898921
-36.936151,2000,6217.092136
-51.956556,2000,6220.281177
-100.255651,95,6220.393983
-101.460762,77,6220.484941
-24.444644,2000,6223.700729
-103.810172,71,6223.775917
-32.149219,2000,6227.021478
-99.26352,141,6227.181216
-103.242633,139,6227.317007
-103.892243,58,6227.378854
-100.289865,100,6227.479811
-50.364159,2000,6230.58645
-100.902302,99,6230.698447
-104.142648,70,6230.786346
-99.78354,83,6230.88425
-50.822257,2000,6234.215995
-100.629584,96,6234.32554
-51.017017,2000,6237.386492
-49.133891,2000,6240.469895
-103.291134,65,6240.539183
-56.86791,2000,6243.715254
-99.3712,133,6243.864115
-50.993507,2000,6247.039902
-49.574613,2000,6250.247407
-47.845604,2000,6253.405947
-47.658492,2000,6256.624035
-100.263989,104,6256.743269
-49.205878,2000,6260.051194
-98.432468,94,6260.149376
-39.499293,2000,6263.263983
-47.313343,2000,6266.345162
-37.401386,2000,6269.529989
-97.613982,97,6269.632081
-38.961357,2000,6272.782934
-44.004294,2000,6275.918042
-38.014475,2000,6279.231607
-30.477748,2000,6282.405144
-44.774828,2000,6285.668883
-44.196325,2000,6288.979134
-46.469361,2000,6292.10149
-41.724439,2000,6295.399788
-35.97572,2000,6298.543679
-42.455045,2000,6301.625274
-38.509676,2000,6304.92663
-28.581299,2000,6308.196749
-24.839459,2000,6311.452729
-47.228733,2000,6314.545262
-41.847392,2000,6317.659398
-32.321298,2000,6320.748483
-39.748656,2000,6323.889983
-41.319565,2000,6326.9647
-34.47691,2000,6330.098751
-32.608208,2000,6333.267844
-24.698734,2000,6336.482467
-46.682698,2000,6338.67813
-51.002252,2000,6341.79482
-43.432423,2000,6344.836458
-47.387298,2000,6348.159049
-44.527625,2000,6351.413931
-44.037578,2000,6354.769709
-24.257214,2000,6357.855718
-36.053612,2000,6360.997257
-40.44265,2000,6364.228507
-32.270879,2000,6367.33642
-47.455929,2000,6370.421752
-38.124376,2000,6373.68544
-19.466742,2000,6376.983034
-34.842828,2000,6380.187803
-31.486338,2000,6383.498257
-31.162416,2000,6386.765003
-18.297172,2000,6389.91693
-34.09201,2000,6393.009743
-40.622857,2000,6396.289253
-22.752053,2000,6399.519369
-42.854591,2000,6402.740064
-43.180924,2000,6405.795095
-43.369947,2000,6408.955051
-38.55013,2000,6412.077273
-29.185758,2000,6415.200743
-27.394769,2000,6418.40625
-30.549941,2000,6421.587116
-27.377546,2000,6424.97885
-40.965128,2000,6428.241637
-31.420947,2000,6431.458438
-33.90844,2000,6434.610412
-51.833626,2000,6437.87046
-40.9606,2000,6441.127253
-28.52181,2000,6444.193705
-31.82705,2000,6447.335335
-34.169539,2000,6450.357987
-32.519378,2000,6453.535555
-20.383569,2000,6456.613768
-30.948601,2000,6459.676683
-33.257156,2000,6462.90807
-35.754453,2000,6466.272656
-33.73391,2000,6469.338372
-34.6114,2000,6472.42457
-29.238633,2000,6474.64206
-31.161984,2000,6478.009604
-35.380696,2000,6481.332466
-31.948834,2000,6484.628385
-38.914044,2000,6488.156697
-31.365224,2000,6491.626992
-31.847943,2000,6495.201276
-25.778097,2000,6498.759812
-33.198975,2000,6502.269948
-40.17778,2000,6505.636989
-23.988668,2000,6509.143845
-26.490963,2000,6512.767395
-20.369167,2000,6516.603127
-21.927268,2000,6520.994797
-22.132874,2000,6525.270172
-26.055984,2000,6529.608855
-25.33937,2000,6533.605714
-21.634048,2000,6536.77654
-24.846804,2000,6540.042235
-32.67364,2000,6543.265832
-28.125362,2000,6546.548892
-33.798953,2000,6549.668384
-33.241757,2000,6552.761878
-27.762603,2000,6555.843958
-26.428053,2000,6558.956121
-16.273688,2000,6562.081695
-27.580164,2000,6565.430899
-25.722879,2000,6568.564248
-30.384561,2000,6571.807823
-14.490488,2000,6574.930956
-25.438217,2000,6578.020353
-25.889339,2000,6581.256678
-16.309996,2000,6584.359844
-34.036868,2000,6587.464343
-22.15741,2000,6590.761291
-34.246667,2000,6593.860722
-33.587523,2000,6596.917547
-18.254208,2000,6600.04542
-35.856168,2000,6603.30767
-33.09475,2000,6606.457686
-33.685202,2000,6609.668112
-33.160827,2000,6612.919875
-33.967104,2000,6614.891546
-29.77929,2000,6618.026985
-22.550343,2000,6621.33836
-35.489401,2000,6624.417612
-16.544461,2000,6627.627328
-29.61709,2000,6630.989419
-27.366719,2000,6634.109066
-22.278104,2000,6637.199547
-27.628136,2000,6640.34631
-35.942837,2000,6643.506503
-21.149359,2000,6646.717599
-33.500211,2000,6649.803306
-22.937911,2000,6652.972855
-29.943165,2000,6656.174558
-29.561856,2000,6659.487922
-28.690289,2000,6662.792172
-31.383605,2000,6665.985346
-23.995346,2000,6669.099391
-23.683955,2000,6672.37512
-31.232567,2000,6675.536943
-25.161448,2000,6678.721352
-25.893599,2000,6681.942808
-28.760621,2000,6685.171073
-26.726337,2000,6688.412094
-26.079205,2000,6691.63767
-32.660213,2000,6694.908367
-29.263822,2000,6698.241287
-32.59542,2000,6701.542128
-26.834382,2000,6704.702458
-31.802842,2000,6707.742073
-28.748708,2000,6710.990919
-28.181371,2000,6714.337138
-23.261968,2000,6717.634595
-26.092324,2000,6720.723849
-28.698495,2000,6723.768802
-32.12916,2000,6726.854374
-33.188112,2000,6729.993412
-26.507527,2000,6733.243516
-20.874394,2000,6736.506682
-32.284708,2000,6739.708751
-21.628456,2000,6742.801109
-27.092473,2000,6745.933473
-33.187405,2000,6749.031956
-30.561659,2000,6751.226497
-26.920772,2000,6754.446227
-29.1975,2000,6757.662093
-28.785309,2000,6760.740377
-27.906778,2000,6763.825273
-31.219683,2000,6766.899227
-25.099158,2000,6770.032753
-22.915415,2000,6773.237382
-29.242879,2000,6776.336329
-31.575763,2000,6779.640458
-29.798121,2000,6782.92434
-33.971525,2000,6786.096475
-20.548337,2000,6789.202298
-35.440741,2000,6792.397797
-28.037152,2000,6795.66882
-30.544788,2000,6799.028652
-29.338051,2000,6802.347724
-37.524203,2000,6805.657691
-32.049611,2000,6808.889719
-28.798767,2000,6812.124555
